Symbol_ID,X,Y,Width,Height
192,6967,11590,18,12
193,6957,11576,23,13
194,6631,11531,14,13
195,10362,11507,34,33
196,6963,11495,3,36
197,7189,11488,67,133
198,8751,11407,20,27
199,9095,11400,493,187
200,3825,11345,1839,20
201,4069,11316,30,12
202,8119,11189,20,27
203,4839,11175,11,29
204,7159,11055,493,187
205,8777,10957,35,213
206,3825,10766,1839,20
207,4069,10737,30,12
208,6718,10717,11,29
209,6948,10563,56,363
210,6393,10563,28,363
211,4404,10365,87,87
212,4248,10365,86,87
213,23674,9510,352,193
214,25819,9322,105,105
215,23674,9278,352,193
216,23661,7774,368,148
217,22297,7138,288,120
218,21778,7048,264,210
219,23735,6996,220,123
220,25802,6988,140,140
221,20131,6620,23,199
222,23729,6420,233,117
223,23787,5957,117,117
224,23864,5272,79,98
225,13470,4885,6,34
226,12863,4885,6,34
227,12597,4885,6,34
228,13574,4808,6,34
229,13312,4808,6,34
230,13193,4808,6,34
231,12675,4808,6,34
232,12795,4746,32,6
233,12795,4732,32,6
234,13575,4731,6,34
235,13182,4653,6,34
236,12905,4653,6,34
237,12643,4653,6,34
238,12988,4576,6,34
239,12827,4576,6,34
240,12597,4576,6,34
241,12679,4563,6,47
242,12926,4486,6,47
243,25762,4454,220,123
244,13249,4344,6,34
245,12832,4344,6,34
246,13379,4331,6,47
247,13037,4331,6,47
248,12710,4331,6,47
249,13622,4266,6,34
250,13267,4266,6,34
251,12814,4266,6,34
252,12691,4253,6,47
253,12677,4253,6,47
254,13080,4175,6,47
255,13364,4110,6,34
256,13533,4097,6,47
257,13242,4097,6,47
258,13532,3956,18,6
259,13376,3942,6,34
260,13200,3942,6,34
261,13707,3929,6,47
262,13092,3929,6,47
263,12948,3929,6,47
264,25784,3860,163,163
265,23764,3860,163,163
266,12735,3843,18,6
267,12909,3816,6,47
268,11367,3788,6,47
269,11789,3714,6,34
270,11419,3714,6,34
271,23764,3629,163,163
272,12797,3357,18,6
273,7587,2836,425,193
274,7587,2558,425,193
275,13470,2407,6,34
276,12863,2407,6,34
277,12597,2407,6,34
278,13574,2330,6,34
279,13312,2330,6,34
280,13193,2330,6,34
281,12675,2330,6,34
282,12795,2267,32,6
283,12795,2253,32,6
284,13575,2252,6,34
285,13182,2175,6,34
286,12905,2175,6,34
287,12643,2175,6,34
288,12988,2098,6,34
289,12827,2098,6,34
290,12597,2098,6,34
291,12679,2085,6,47
292,12926,2007,6,47
293,7587,2002,425,194
294,13249,1866,6,34
295,12832,1866,6,34
296,13379,1853,6,47
297,13037,1853,6,47
298,12710,1853,6,47
299,13622,1788,6,34
300,13267,1788,6,34
301,12814,1788,6,34
302,12691,1775,6,47
303,12677,1775,6,47
304,7587,1724,425,193
305,13080,1697,6,47
306,13364,1632,6,34
307,13533,1619,6,47
308,13242,1619,6,47
309,7587,1446,425,193
310,13448,1424,6,34
311,12668,1424,6,34
312,13293,1411,6,47
313,13136,1346,6,34
314,12938,1346,6,34
315,12730,1346,6,34
316,7587,1169,425,193
317,12681,878,18,6
