Letter_ID,X,Y,Width,Height
197,16831,17052,9,12
198,16085,17045,36,36
199,3305,17045,20,518
200,15884,17038,20,30
201,16075,17035,56,56
202,16963,17033,1641,750
203,15215,17012,387,89
204,16436,16952,54,519
205,16588,16949,162,116
206,16008,16678,19,30
207,15974,16678,20,30
208,15939,16678,21,29
209,15859,16678,12,29
210,13286,16678,24,29
211,13262,16678,20,29
212,15995,16677,12,31
213,15961,16677,12,31
214,15878,16666,54,54
215,14947,16609,67,364
216,13433,16609,55,364
217,10264,16603,1317,19
218,6790,16603,1317,19
219,16493,16597,12,30
220,10908,16573,30,12
221,9177,16573,30,12
222,7447,16573,30,12
223,5507,16573,30,12
224,13278,16570,17,24
225,10064,16554,24,17
226,8337,16554,24,17
227,6589,16554,24,17
228,13492,16524,17,24
229,13511,16523,85,60
230,14910,16478,17,24
231,14929,16477,86,60
232,3480,16247,63,61
233,18495,16099,34,22
234,18510,16075,10,20
235,18512,16052,32,26
236,18523,16021,30,22
237,13662,15982,1121,20
238,16493,15976,12,30
239,10908,15953,30,12
240,9177,15953,30,12
241,7447,15953,30,12
242,5507,15953,30,12
243,18550,15948,29,22
244,16060,15916,20,30
245,16026,15916,20,30
246,15992,15916,20,29
247,15912,15916,11,29
248,16048,15915,11,31
249,16014,15915,11,31
250,14323,15915,21,29
251,14290,15915,20,30
252,14255,15915,21,29
253,14175,15915,12,29
254,14311,15914,12,31
255,14278,15914,11,31
256,15930,15904,55,54
257,14194,15903,54,62
258,8356,15899,19,30
259,8322,15899,20,30
260,8287,15899,21,29
261,12352,15898,19,30
262,12332,15898,11,29
263,12296,15898,19,30
264,12261,15898,20,29
265,12181,15898,11,29
266,10343,15898,20,30
267,10308,15898,21,29
268,10274,15898,21,29
269,10194,15898,12,29
270,8343,15898,11,31
271,8309,15898,12,31
272,8208,15898,11,29
273,6371,15898,19,29
274,6335,15898,21,29
275,6302,15898,20,29
276,6222,15898,11,29
277,12317,15897,11,31
278,12283,15897,11,31
279,10330,15897,12,31
280,10297,15897,11,31
281,6358,15897,11,31
282,6324,15897,11,31
283,12199,15886,54,55
284,10213,15886,54,55
285,8226,15886,55,55
286,6240,15886,55,55
287,13157,15809,11,29
288,13135,15809,11,29
289,13098,15809,20,30
290,13063,15809,21,29
291,13119,15808,12,31
292,13086,15808,11,31
293,16601,15807,20,29
294,16567,15807,20,30
295,16532,15807,21,29
296,13037,15807,22,30
297,12929,15807,19,30
298,5956,15807,20,29
299,5923,15807,19,30
300,5888,15807,20,29
301,16588,15806,12,31
302,16555,15806,11,31
303,5943,15806,12,31
304,5910,15806,11,31
