Symbol_ID,X,Y,Width,Height
238,16484,17066,24,31
239,16417,17066,26,31
240,16831,17052,9,12
241,16085,17045,36,36
242,3305,17045,20,518
243,16842,17044,10,16
244,15884,17038,20,30
245,16824,17036,25,16
246,16075,17035,56,56
247,16963,17033,1641,750
248,15915,17012,71,61
249,15215,17012,387,89
250,16436,16952,54,519
251,16588,16949,162,116
252,16008,16678,19,30
253,15974,16678,20,30
254,15939,16678,21,29
255,15859,16678,12,29
256,13286,16678,24,29
257,13262,16678,20,29
258,15995,16677,12,31
259,15961,16677,12,31
260,15878,16666,54,54
261,14947,16609,67,364
262,13433,16609,55,364
263,15153,16603,970,19
264,10264,16603,1317,19
265,8527,16603,1317,19
266,6790,16603,1317,19
267,3825,16603,2628,19
268,16493,16597,12,30
269,15617,16573,30,12
270,12644,16573,30,12
271,10908,16573,30,12
272,9177,16573,30,12
273,7447,16573,30,12
274,5507,16573,30,12
275,4069,16573,30,12
276,13278,16570,17,24
277,12001,16569,1382,59
278,10064,16554,24,17
279,8337,16554,24,17
280,6589,16554,24,17
281,13492,16524,17,24
282,13511,16523,85,60
283,14910,16478,17,24
284,14929,16477,86,60
285,11747,16467,87,87
286,10062,16467,59,86
287,8335,16467,60,86
288,6587,16467,59,86
289,16456,16353,20,519
290,3480,16247,63,61
291,18495,16099,34,22
292,18519,16078,9,19
293,18510,16075,10,20
294,18512,16052,32,26
295,18523,16021,30,22
296,18536,15991,29,33
297,15052,15982,1120,20
298,13662,15982,1121,20
299,12001,15982,1317,20
300,10264,15982,1317,20
301,8527,15982,1317,20
302,6790,15982,1317,20
303,3825,15982,1957,20
304,16493,15976,12,30
305,15594,15953,30,12
306,12644,15953,30,12
307,10908,15953,30,12
308,9177,15953,30,12
309,7447,15953,30,12
310,5507,15953,30,12
311,4069,15953,30,12
312,18550,15948,29,22
313,16060,15916,20,30
314,16026,15916,20,30
315,15992,15916,20,29
316,15912,15916,11,29
317,16048,15915,11,31
318,16014,15915,11,31
319,14323,15915,21,29
320,14290,15915,20,30
321,14255,15915,21,29
322,14175,15915,12,29
323,14311,15914,12,31
324,14278,15914,11,31
325,15930,15904,55,54
326,14194,15903,54,62
327,8356,15899,19,30
328,8322,15899,20,30
329,8287,15899,21,29
330,12352,15898,19,30
331,12332,15898,11,29
332,12296,15898,19,30
333,12261,15898,20,29
334,12181,15898,11,29
335,10343,15898,20,30
336,10308,15898,21,29
337,10274,15898,21,29
338,10194,15898,12,29
339,8343,15898,11,31
340,8309,15898,12,31
341,8208,15898,11,29
342,6371,15898,19,29
343,6335,15898,21,29
344,6302,15898,20,29
345,6222,15898,11,29
346,12317,15897,11,31
347,12283,15897,11,31
348,10330,15897,12,31
349,10297,15897,11,31
350,6358,15897,11,31
351,6324,15897,11,31
352,12199,15886,54,55
353,10213,15886,54,55
354,8226,15886,55,55
355,6240,15886,55,55
356,18544,15864,60,87
357,13157,15809,11,29
358,13135,15809,11,29
359,13098,15809,20,30
360,13063,15809,21,29
361,13119,15808,12,31
362,13086,15808,11,31
363,16601,15807,20,29
364,16567,15807,20,30
365,16532,15807,21,29
366,13037,15807,22,30
367,12929,15807,19,30
368,5956,15807,20,29
369,5923,15807,19,30
370,5888,15807,20,29
371,16588,15806,12,31
372,16555,15806,11,31
373,5943,15806,12,31
374,5910,15806,11,31
375,5747,15805,20,30
376,16369,15802,20,30
377,12960,15785,76,102
378,5778,15784,102,76
379,5829,15760,30,22
380,16400,15733,102,518
381,17164,15598,1287,20
382,18177,15568,30,12
383,17406,15568,30,12
384,15052,15427,1120,19
385,13662,15427,1121,19
386,12001,15427,1317,19
387,10264,15427,1317,19
388,8527,15427,1317,19
389,6790,15427,1317,19
390,3825,15427,1957,19
